Titre,Nombre de pièces,Ville,Prix,Esesntiel,autre,Titre_,nb_pieces_,prix_,Chambres,Surface_m2,Pieces,Salle_de_bain,Sejour_m2,Terrain_m2,Alarme,Place de parking,Jardin privatif,Cave,Cheminée,Climatisation,Dépendance,Garage,Gardien,Grenier,Meublé,Piscine,Terrasse,Balcon,Étage
Maison à vendre,7 pièces •,Ris-Orangis,389 000 €,"['7 pièces', 'Surface 148 m²', '6 chambres', '2 salles de bain/eau', 'Terrain 518 m²', 'Séjour 25 m²']","['Terrasse', 'Garage', '1 place de parking']",Maison,7.0,389000,6.0,148.0,7.0,2.0,25.0,518.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,
Appartement à vendre,4 pièces •                            68 m2,Les Ulis,165 000 €,"['4 pièces', 'Surface 68 m²', '3 chambres', '1 salle de bain/eau', 'Séjour 23,47 m²']","['Ascenseur', 'Gardien', 'Garage', 'Bâtiment composé de 5 étages']",Appartement,4.0,165000,3.0,68.0,4.0,1.0,23.0,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,5.0
Appartement à vendre,4 pièces •                            91 m2,Juvisy-sur-Orge,299 900 €,"['4 pièces', 'Surface 91 m²', '3 chambres', '2 salles de bain/eau', 'Séjour 35 m²']","['Ascenseur', 'Gardien', 'Piscine', 'Terrasse', 'Cave', '1 place de parking', 'Bâtiment composé de 12 étages']",Appartement,4.0,299900,3.0,91.0,4.0,2.0,35.0,,False,True,False,True,False,False,False,False,True,False,False,True,True,False,12.0
Appartement à vendre,"3 pièces •                            62,31 m2",Ris-Orangis,129 900 €,"['3 pièces', '2 chambres', '1 salle de bain/eau', 'Séjour 17,49 m²']","['Ascenseur', 'Balcon', 'Cave', '1 place de parking', 'Bâtiment composé de 6 étages', 'Étage 5']",Appartement,3.0,129900,2.0,,3.0,1.0,17.0,,False,True,False,True,False,False,False,False,False,False,False,False,False,True,6.0
Appartement à vendre,"2 pièces •                            42,79 m2",Ris-Orangis,115 000 €,"['2 pièces', '1 chambre', '1 salle de bain/eau', 'Séjour 18,30 m²']","['Balcon', 'Cave', '1 place de parking', 'Bâtiment composé de 2 étages', 'Étage 1']",Appartement,2.0,115000,,,2.0,1.0,18.0,,False,True,False,True,False,False,False,False,False,False,False,False,False,True,2.0
Maison à vendre,5 pièces •,Villejust,369 000 €,"['5 pièces', 'Surface 81,30 m²', '3 chambres', '2 salles de bain/eau', 'Terrain 234 m²', 'Séjour 27,98 m²']","['Grenier', 'Terrasse', 'Garage', 'Avec jardin privatif']",Maison,5.0,369000,3.0,81.0,5.0,2.0,27.0,234.0,False,False,True,False,False,False,False,True,False,True,False,False,True,False,
Appartement à vendre,"3 pièces •                            65,48 m2",Épinay-sous-Sénart,159 000 €,"['3 pièces', '2 chambres', '1 salle de bain/eau', 'Séjour 17,31 m²']","['Balcon', 'Cave', '1 place de parking']",Appartement,3.0,159000,2.0,,3.0,1.0,17.0,,False,True,False,True,False,False,False,False,False,False,False,False,False,True,
Appartement à vendre,"3 pièces •                            68,19 m2",Morsang-sur-Orge,158 000 €,"['3 pièces', 'Surface 68,19 m²', '2 chambres', '1 salle de bain/eau', 'Séjour 20,70 m²']","['Gardien', 'Balcon', 'Cave']",Appartement,3.0,158000,2.0,68.0,3.0,1.0,20.0,,False,False,False,True,False,False,False,False,True,False,False,False,False,True,
Appartement à vendre,"2 pièces •                            48,10 m2",Sainte-Geneviève-des-Bois,245 000 €,"['2 pièces', 'Surface 48,10 m²', '1 chambre', '1 salle de bain/eau', 'Séjour 26,50 m²']","['Ascenseur', 'Balcon', 'Bâtiment composé de 3 étages', 'Étage 1']",Appartement,2.0,245000,,48.0,2.0,1.0,26.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3.0
Appartement à vendre,"3 pièces •                            73,70 m2",Sainte-Geneviève-des-Bois,365 000 €,"['3 pièces', 'Surface 73,70 m²', '2 chambres', '1 salle de bain/eau', 'Séjour 38,80 m²']","['Ascenseur', 'Balcon', 'Bâtiment composé de 3 étages', 'Étage 3']",Appartement,3.0,365000,2.0,73.0,3.0,1.0,38.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3.0
